ElectDist,mhhi21,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services [except Public Administration],Public Administration,h21p,nha21p,nhb21p,nhw21p,cvap21bapp,cluster
23001,62844.563213825226,7.308237935278638,3.036177455578403,3.609635185627874,8.461789363981683,3.0934103387229195,4.500511512341251,9.993747901155796,5.818754371978719,9.45693673896437,1.7652009009851115,5.266880048422324,5.185916585952089,16.99139430491043,2.939829566942179,6.802960191195188,4.764781130290197,0.0,5.499735589635113,0.5288207297726071,0.2379693283976731,92.6758328926494,49.12454575487281,1
23002,13556.26780539751,7.308237935278638,3.036177455578403,3.609635185627874,8.461789363981683,3.0934103387229195,4.500511512341251,9.993747901155796,5.818754371978719,9.45693673896437,1.7652009009851115,5.266880048422324,5.185916585952089,16.99139430491043,2.939829566942179,6.802960191195188,4.764781130290197,0.0,5.499735589635113,0.5288207297726071,0.2379693283976731,92.6758328926494,49.12454575487281,1
23006,84445.23308807611,5.464299866000522,2.575456317676849,3.6355868787712113,10.342834704844604,4.675137884259899,3.888663366681128,5.775718262750722,2.8834712562352545,6.769997962377981,1.4451809456958142,6.490171061277863,4.123760642741989,27.30993562277487,1.880208982762184,7.300298603040199,4.62343230181678,0.0,6.0923129560804,1.0370382550739414,41.29212152977421,48.43702975521774,42.87635532637267,5
23008,73710.18253789772,5.659562324230127,2.4734810154534097,3.4501052802551,10.011843729764122,4.561960894633895,3.820381495260892,5.781496570764784,2.799703516709989,6.830365428569053,1.4216814902523425,6.4092257378121085,4.150042989019083,28.100670223257907,1.8536440093617244,7.139155001599956,4.663933649035298,0.0,4.270416440211849,1.4904458651678094,43.86156648694686,47.49961153395517,45.50888718210493,5
23009,44232.33561644492,6.315335863612955,2.8571570755595768,4.0223354714586455,9.761251680647824,4.35782141634013,3.972076541554022,7.171004336166583,3.318946742934865,8.096549584068766,1.3188340134868977,5.428654141771191,5.655388430566481,19.497951986449294,2.51116176186428,8.90010788757355,5.397474855326744,0.0,19.247676551098994,2.076208876399636,0.9526181539915772,77.0884134335348,46.04105240732712,0
23010,38749.87972438336,6.359293087876349,2.691381513269274,3.881617407974033,10.322884704400614,4.227506594977337,4.184666450696756,6.694861083529071,3.1942224976891493,8.075539859924447,1.3375804425710105,5.461967707269684,5.139514143671459,20.95120234850488,2.308609435852612,8.606225474827419,5.364048523312309,0.0,15.221167485614028,2.3924160984192766,3.0724687856722963,77.35380780144058,43.61314122335053,0
23015,5184.6561339870095,4.799621129760833,2.62415330310576,3.572935500754622,10.396098477916905,5.258808244782373,3.3461984961523066,5.142223989314851,3.259721772743771,6.228026743869476,1.3637861992189535,5.994602285727529,3.4775981173500163,29.287219341162626,1.9149581744927349,7.7403481443445585,5.093472520405868,0.0,31.90568571854947,0.8058498731532607,10.192508580808834,52.81301298313685,37.48540288049825,0
23020,73.07966686598957,3.840107570410079,2.75175312024444,3.332867909723864,12.1181084460135,5.374242935186265,3.5402025096291894,4.625326553530685,2.809533264858384,5.838079103455892,1.4681441582812107,7.899955117820578,3.6114900458537633,26.865647839178763,1.942787900384633,8.70119192191088,4.5172183560678665,0.0,34.68713884761433,1.799570744593033,36.37114082879313,19.59716031038468,29.33262991295173,5
23025,12013.617638781669,3.5969998664949547,2.5319495147461994,3.4549805407605145,11.736093004635553,4.434973808906491,2.335036564070036,4.041038313935177,3.0284551746879256,5.177156008769182,1.0458094167121317,6.6354968692435,6.672765451542185,28.605220075807612,1.6117185180035685,7.243594605588772,7.419679123593296,0.0,13.289664805991984,9.255525506236758,27.52060313862894,47.89617009729345,33.23338644966303,0
23026,9146.70732653874,4.032728636875971,2.493904954055317,3.8039805678036895,10.993271635292391,3.184531618929435,2.5933052659778464,5.59844347089218,3.213330911432834,6.918503671953902,1.1391846353077866,5.38909084933925,10.418955905891398,23.414824375066285,1.5448133405175246,6.910963787555827,7.903490756223881,0.0,8.548118316889179,16.354533786623882,11.644725522730676,63.19302896436688,44.212819582072285,0
23028,26723.246925383806,3.979901915467364,2.677853900001626,3.4527464642529453,11.463031768615604,4.423631937139501,2.4554258647605485,3.936042988760151,3.4163269963572462,5.659384063446345,1.018159620594859,6.447312239878007,7.252010607432131,25.82837681807975,1.800857763812744,7.87804572850591,7.911341058103623,0.0,28.81981660116708,0.631177801595808,17.530070263189234,48.77932594974396,45.1133909287257,0
23029,12386.456371177075,3.500490690704705,2.592291203524248,3.315834086881095,12.072704407536884,5.075287150989649,2.2506688877038283,3.4578162939514607,3.014327193499289,4.611597513571274,1.0110879294389874,7.131636076802739,5.212412589378585,30.05918096517136,1.659834647635862,7.5102141915546685,7.111687659865373,0.0,19.24103174407152,4.001703885354624,34.82223959766364,38.83882246460285,32.263140101259154,5
23030,5996.384851480083,3.3612149920782985,2.552536536516035,3.266126976043624,12.1380544963401,5.11162294311288,2.1952802405238785,3.1982832567292263,2.928413847788704,4.234864566840733,0.99528153470503,7.309961971566623,4.645597829682609,31.413888031775485,1.647922789059756,7.42359055613244,7.1578752517138025,0.0,15.855448430026794,5.414055088847924,36.111483225977615,39.6186136785973,27.292110530555213,5
